Vivado Simulator 2020.1
Time resolution is 1 ps
Note: File type : P3
Note: Width: 25
Note: Height: 25
Note: Max encoding: 255
Note: Pixel#128: Red Value: 255, Green Value 255, Blue Value: 0
Note: Pixel#129: Red Value: 255, Green Value 255, Blue Value: 0
Note: Pixel#130: Red Value: 0, Green Value 255, Blue Value: 0
Note: Pixel#131: Red Value: 0, Green Value 255, Blue Value: 0
Note: Pixel#132: Red Value: 0, Green Value 255, Blue Value: 0
Note: Pixel#133: Red Value: 0, Green Value 255, Blue Value: 0
Note: Pixel#134: Red Value: 0, Green Value 255, Blue Value: 0
Note: Pixel#135: Red Value: 255, Green Value 255, Blue Value: 255
Note: Pixel#136: Red Value: 255, Green Value 255, Blue Value: 255
Note: Pixel#137: Red Value: 255, Green Value 255, Blue Value: 255
Note: Pixel#138: Red Value: 255, Green Value 255, Blue Value: 255
Note: Pixel#139: Red Value: 255, Green Value 255, Blue Value: 255
Note: Pixel#140: Red Value: 0, Green Value 255, Blue Value: 255
Note: Pixel#141: Red Value: 0, Green Value 255, Blue Value: 255
Note: Pixel#142: Red Value: 0, Green Value 255, Blue Value: 255
Note: Pixel#143: Red Value: 0, Green Value 255, Blue Value: 255
Note: Pixel#144: Red Value: 0, Green Value 255, Blue Value: 255
Note: Pixel#145: Red Value: 255, Green Value 0, Blue Value: 0
Note: Pixel#146: Red Value: 255, Green Value 0, Blue Value: 0
Note: Pixel#147: Red Value: 255, Green Value 0, Blue Value: 0
Note: Pixel#148: Red Value: 255, Green Value 0, Blue Value: 0
Note: Pixel#149: Red Value: 255, Green Value 0, Blue Value: 0
Note: Pixel#150: Red Value: 255, Green Value 255, Blue Value: 0
Note: Pixel#151: Red Value: 255, Green Value 255, Blue Value: 0
Note: Pixel#152: Red Value: 255, Green Value 255, Blue Value: 0
Note: Pixel#153: Red Value: 255, Green Value 255, Blue Value: 0
Note: Pixel#154: Red Value: 255, Green Value 255, Blue Value: 0
Note: Pixel#155: Red Value: 0, Green Value 255, Blue Value: 0
Note: Pixel#156: Red Value: 0, Green Value 255, Blue Value: 0
Note: Pixel#157: Red Value: 0, Green Value 255, Blue Value: 0
Note: Pixel#158: Red Value: 0, Green Value 255, Blue Value: 0
Note: Pixel#159: Red Value: 0, Green Value 255, Blue Value: 0
Note: Pixel#160: Red Value: 255, Green Value 255, Blue Value: 255
Note: Pixel#161: Red Value: 255, Green Value 255, Blue Value: 255
Note: Pixel#162: Red Value: 255, Green Value 255, Blue Value: 255
Note: Pixel#163: Red Value: 255, Green Value 255, Blue Value: 255
Note: Pixel#164: Red Value: 255, Green Value 255, Blue Value: 255
Note: Pixel#165: Red Value: 0, Green Value 255, Blue Value: 255
